club_name,file_name,selection,source_status,sha256
ACJ,images/ACJ.jpg,REVIEWED_CONFLICT,CONFLICT,03318b93f3520f94021603f98887b560fa909beafd79d14d4a911370dbc17794
ACJ PORTONES,images/ACJ_PORTONES.jpg,AUTOMATIC,SINGLE,961abacb0ad0ac173af253efc695a2d5a996fd7fe349a3a277c0d9980d98c811
AIRES PUROS,images/AIRES_PUROS.jpg,REVIEWED_CONFLICT,CONFLICT,43b744109fd5210647f449dc99525afe753033602e4ff106499b271b2196b6d4
ALKIMIA,images/ALKIMIA.jpg,AUTOMATIC,SINGLE,28ea2c9184bc954e9451df84b20823a71ef881542a9888527dc5bfa6e4570671
ARRIETA - CDV,images/ARRIETA_CDV.jpg,REVIEWED_CONFLICT,CONFLICT,2b8ebef29f882e92641df5ad4f173a4775c34670048f2f624c9fd9a12b676486
ATENAS,images/ATENAS.jpg,REVIEWED_CONFLICT,CONFLICT,76dd671640250b40fcd68d6249a183cb8203890aa852d1193cbdfc07477543b8
BAGE,images/BAGE.jpg,AUTOMATIC,SINGLE,bc1480a584b21489f8e4aef208d8fd9bb23ca4b6b2585fec52ea30ecd2677976
BIGUA,images/BIGUA.jpg,AUTOMATIC,SINGLE,2175a8b40a8cecf96ff017bf0704304a297f2207c3005e1c61012d4b47b0a736
BIGUA BIARRITZ,images/BIGUA_BIARRITZ.jpg,AUTOMATIC,SINGLE,2175a8b40a8cecf96ff017bf0704304a297f2207c3005e1c61012d4b47b0a736
BOHEMIOS,images/BOHEMIOS.jpg,REVIEWED_CONFLICT,CONFLICT,1b12f7f7107877a145fcfaf342aca2dde4ca28b5dda160a37a696a87141c0f06
BOMBINI,images/BOMBINI.jpg,AUTOMATIC,SINGLE,991dc2a309c823a6b1cab3be9a90cedc3e930f9403ed1ed4a066062c5c164eeb
BUCEO VOLEY,images/BUCEO_VOLEY.jpg,AUTOMATIC,SINGLE,aa1033e674ef8f38e1e2486aa39f87359c74bad3b94a849631df0c6f32cbb72d
